test_id,variant_id,timestamp,success,duration_sec,param_num_processes,param_records_per_second,param_total_records,param_duplication_rate,param_deduplication_window,param_max_batch_size,param_max_delay_time,result_total_generated,result_total_duplicates,result_num_records,result_num_processes,result_time_taken_publish_ms,result_rps_achieved,result_success,result_time_taken_ms,result_avg_latency_ms,result_lag_ms
19_05_001,load_9fb6b2c9,2025-05-19T09:39:43.476603,True,595.42,2,200000,5000000,0.1,8h,5000,10s,4545454,454546,5000000,2,574372,8705,True,584975,0.116995,10101
19_05_001,load_0b8b8a70,2025-05-19T09:59:10.075215,True,1166.02,2,200000,10000000,0.1,8h,5000,10s,9090908,909092,10000000,2,1139920,8773,True,1155676,0.1155676,15042
19_05_001,load_a7e0c0df,2025-05-19T10:27:56.346535,True,1724.96,2,200000,15000000,0.1,8h,5000,10s,13636362,1363638,15000000,2,1703831,8804,True,1714624,0.11430826666666667,10042
19_05_001,load_bd0fdf39,2025-05-19T11:07:05.178720,True,2348.01,2,200000,20000000,0.1,8h,5000,10s,18181818,1818182,20000000,2,2289220,8737,True,2337666,0.1168833,47738
19_05_001,load_1542aa3b,2025-05-19T11:16:21.075165,True,554.57,4,200000,5000000,0.1,8h,5000,10s,4545452,454548,5000000,4,282816,17679,True,544158,0.1088316,260550
19_05_001,load_a85a4c42,2025-05-19T11:34:12.797530,True,1070.84,4,200000,10000000,0.1,8h,5000,10s,9090908,909092,10000000,4,563762,17738,True,1060506,0.1060506,495973
19_05_001,load_5efd111b,2025-05-19T12:01:10.157249,True,1616.1,4,200000,15000000,0.1,8h,5000,10s,13636364,1363636,15000000,4,848471,17679,True,1605765,0.107051,756490
19_05_001,load_23da167d,2025-05-19T13:47:49.270013,True,2143.4,4,200000,20000000,0.1,8h,5000,10s,18181816,1818184,20000000,4,1140664,17534,True,2132957,0.10664785,991769
19_05_001,load_883b39a0,2025-05-19T13:57:24.817040,True,574.26,6,200000,5000000,0.1,8h,5000,10s,4545452,454548,5000000,6,192344,25995,True,563784,0.1127568,370567
19_05_001,load_b083f89f,2025-05-19T14:15:49.153795,True,1103.43,6,200000,10000000,0.1,8h,5000,10s,9090909,909091,10000000,6,381303,26226,True,1093081,0.1093081,710968
19_05_001,load_462558f4,2025-05-19T14:43:12.749464,True,1642.37,6,200000,15000000,0.1,8h,5000,10s,13636362,1363638,15000000,6,569730,26328,True,1632028,0.10880186666666666,1061441
19_05_001,load_254adf29,2025-05-19T15:23:07.467430,True,2393.85,6,200000,20000000,0.1,8h,5000,10s,18181814,1818186,20000000,6,768931,26010,True,2383450,0.1191725,1613622
19_05_001,load_0c3fdefc,2025-05-19T15:32:42.374034,True,572.95,8,200000,5000000,0.1,8h,5000,10s,4545448,454552,5000000,8,145416,34384,True,562145,0.112429,415781
19_05_001,load_3942530b,2025-05-19T15:51:57.071624,True,1153.53,8,200000,10000000,0.1,8h,5000,10s,9090904,909096,10000000,8,296045,33779,True,1143199,0.1143199,846258
19_05_001,load_d2c1783c,2025-05-19T16:19:43.108801,True,1664.61,8,200000,15000000,0.1,8h,5000,10s,13636360,1363640,15000000,8,435928,34409,True,1654277,0.11028513333333333,1217372
19_05_001,load_febf151f,2025-05-19T19:03:57.377111,True,2203.35,8,200000,20000000,0.1,8h,5000,10s,18181816,1818184,20000000,8,569228,35135,True,2192824,0.1096412,1622751
19_05_001,load_993c0bc5,2025-05-19T19:13:39.913005,True,581.51,10,200000,5000000,0.1,8h,5000,10s,4545450,454550,5000000,10,124205,40256,True,570993,0.1141986,445763
19_05_001,load_022e44e5,2025-05-19T19:33:02.443372,True,1161.57,10,200000,10000000,0.1,8h,5000,10s,9090910,909090,10000000,10,258297,38715,True,1151126,0.1151126,891797
19_05_001,load_0adbae83,2025-05-19T20:01:59.170318,True,1735.79,10,200000,15000000,0.1,8h,5000,10s,13636360,1363640,15000000,10,376692,39820,True,1725385,0.11502566666666666,1347659
19_05_001,load_77d67ac7,2025-05-19T20:41:51.345143,True,2391.07,10,200000,20000000,0.1,8h,5000,10s,18181810,1818190,20000000,10,494344,40458,True,2380661,0.11903305,1885241
19_05_001,load_af120520,2025-05-19T20:52:22.523081,True,630.3,12,200000,5000000,0.1,8h,5000,10s,4545451,454549,5000000,12,132658,37691,True,619770,0.123954,485955
19_05_001,load_c9424931,2025-05-19T21:11:55.189219,True,1171.77,12,200000,10000000,0.1,8h,5000,10s,9090904,909096,10000000,12,218613,45743,True,1161405,0.1161405,941656
19_05_001,load_ee837ca6,2025-05-19T21:41:09.840547,True,1753.42,12,200000,15000000,0.1,8h,5000,10s,13636356,1363644,15000000,12,329385,45539,True,1743117,0.1162078,1412485
19_05_001,load_ac40b143,2025-05-20T00:25:00.649324,True,2263.38,12,200000,20000000,0.1,8h,5000,10s,18181819,1818181,20000000,12,408124,49005,True,2252875,0.11264375,1843612
19_05_001,load_675d04f3,2025-05-22T13:26:42.676594,True,600.91,12,400000,5000000,0.1,8h,5000,10s,4545451,454549,5000000,12,123818,40382,True,590522,0.1181044,465663
19_05_001,load_28956d50,2025-05-22T14:01:09.043544,True,1257.63,12,100000,10000000,0.1,8h,100000,10s,9090904,909096,10000000,12,179119,55829,True,1247132,0.1247132,1066624
